Date,Open,High,Low,Close,Adj Close,Volume
2020-07-07,60.750000,60.910000,55.884998,56.189999,56.189999,3661300
2020-07-08,56.610001,59.369999,56.520000,57.520000,57.520000,2150100
2020-07-09,57.770000,57.830002,54.040001,56.130001,56.130001,1509800
2020-07-10,56.470001,58.279999,55.279999,57.110001,57.110001,1874400
2020-07-13,57.680000,58.439999,54.799999,54.950001,54.950001,2002300
2020-07-14,54.500000,55.990002,53.889999,54.980000,54.980000,2012200
2020-07-15,58.910000,60.889999,58.400002,60.189999,60.189999,2629000
2020-07-16,58.750000,59.509998,57.880001,58.529999,58.529999,1209500
2020-07-17,59.000000,59.400002,57.549999,58.810001,58.810001,2621800
2020-07-20,58.689999,59.014999,56.880001,57.439999,57.439999,1889800
2020-07-21,58.419998,59.077999,57.900002,58.209999,58.209999,1457800
2020-07-22,57.599998,58.330002,57.259998,57.570000,57.570000,883000
2020-07-23,57.220001,58.049999,55.549999,56.240002,56.240002,1113600
2020-07-24,55.650002,55.849998,53.900002,54.570000,54.570000,1261900
2020-07-27,53.619999,55.340000,53.400002,54.639999,54.639999,1743500
2020-07-28,54.209999,54.935001,53.645000,53.820000,53.820000,1746200
2020-07-29,54.000000,56.570000,53.990002,54.849998,54.849998,2013200
2020-07-30,53.919998,54.009998,52.195999,53.090000,53.090000,2346800
2020-07-31,53.919998,53.919998,51.700001,52.200001,52.200001,2125300
2020-08-03,52.049999,52.095001,50.384998,50.730000,50.730000,2886400
2020-08-04,50.959999,53.950001,50.599998,53.639999,53.639999,3159500
2020-08-05,51.380001,52.680000,49.770000,49.970001,49.970001,4527400
2020-08-06,49.610001,52.680000,49.419998,51.250000,51.250000,2414100
2020-08-07,51.250000,51.849998,50.480000,50.939999,50.939999,1426100
2020-08-10,51.250000,56.000000,51.250000,54.680000,54.680000,2337200
2020-08-11,55.799999,57.599998,54.570000,56.330002,56.330002,2397900
2020-08-12,57.049999,57.439999,56.139999,56.669998,56.669998,2216700
2020-08-13,56.209999,57.049999,56.099998,56.470001,56.470001,1145900
2020-08-14,55.830002,56.150002,54.889999,55.150002,55.150002,1394300
2020-08-17,55.310001,56.820000,53.740002,55.599998,55.599998,2284800
2020-08-18,55.730000,55.790001,53.400002,54.849998,54.849998,1558200
2020-08-19,54.750000,55.000000,53.410000,53.639999,53.639999,960500
2020-08-20,53.279999,55.279999,52.680000,54.840000,54.840000,1069600
2020-08-21,54.450001,56.660000,54.450001,56.410000,56.410000,1579900
2020-08-24,57.849998,58.880001,57.209999,58.580002,58.580002,1671900
2020-08-25,59.119999,59.220001,57.240002,58.470001,58.470001,1056300
2020-08-26,58.610001,58.789001,57.426998,58.259998,58.259998,976200
2020-08-27,58.709999,62.910000,58.700001,60.959999,60.959999,1730200
2020-08-28,61.549999,63.980000,61.150002,63.680000,63.680000,1628100
2020-08-31,63.130001,63.584999,60.779999,60.790001,60.790001,1285600
2020-09-01,60.270000,61.639999,59.779999,60.910000,60.910000,1202900
2020-09-02,63.000000,63.000000,61.020000,62.029999,62.029999,1063600
2020-09-03,62.410000,63.980000,60.630001,61.209999,61.209999,1224100
2020-09-04,62.110001,62.959999,58.650002,62.400002,62.400002,1446900
2020-09-08,60.700001,62.720001,60.270000,61.029999,61.029999,1435300
2020-09-09,61.049999,61.880001,60.939999,61.060001,61.060001,1227500
2020-09-10,60.549999,61.660000,57.549999,57.639999,57.639999,1831300
2020-09-11,58.040001,58.186001,54.650002,56.340000,56.340000,1409700
2020-09-14,57.730000,58.474998,56.900002,58.279999,58.279999,1861000
2020-09-15,59.450001,61.529999,59.119999,61.000000,61.000000,1960900
2020-09-16,61.000000,62.740002,59.526001,61.990002,61.990002,1308600
2020-09-17,60.290001,61.130001,59.020000,60.009998,60.009998,1541700
2020-09-18,59.630001,59.990002,56.830002,57.389999,57.389999,1810300
2020-09-21,55.880001,56.549999,53.549999,56.099998,56.099998,1573500
2020-09-22,56.259998,58.689999,56.150002,58.349998,58.349998,1403800
2020-09-23,58.770000,60.470001,58.720001,59.860001,59.860001,2770700
2020-09-24,59.459999,60.320000,57.970001,59.419998,59.419998,1899300
2020-09-25,59.000000,60.180000,58.119999,59.830002,59.830002,1287500
2020-09-28,60.990002,61.980000,60.189999,61.320000,61.320000,1566900
2020-09-29,61.439999,61.470001,58.860001,58.910000,58.910000,1057300
2020-09-30,59.480000,62.180000,59.360001,61.619999,61.619999,2637100
2020-10-01,62.730000,64.849998,62.270000,63.529999,63.529999,2192900
2020-10-02,60.919998,63.270000,60.830002,62.220001,62.220001,1943300
2020-10-05,62.799999,63.040001,61.650002,62.480000,62.480000,1013800
2020-10-06,62.980000,64.680000,62.180000,62.369999,62.369999,1484500
2020-10-07,63.580002,65.620003,62.279999,65.419998,65.419998,1386000
2020-10-08,65.510002,66.250000,65.297997,65.879997,65.879997,980000
2020-10-09,66.000000,68.620003,65.900002,67.599998,67.599998,1468800
2020-10-12,68.480003,68.480003,66.860001,68.320000,68.320000,1263300
2020-10-13,68.099998,68.849998,65.690002,65.720001,65.720001,1042800
2020-10-14,65.949997,66.559998,64.370003,64.660004,64.660004,874200
2020-10-15,63.680000,65.589996,63.549999,65.199997,65.199997,926900
2020-10-16,65.879997,66.489998,65.190002,65.239998,65.239998,963000
2020-10-19,65.599998,66.180000,63.119999,63.189999,63.189999,1721400
2020-10-20,64.099998,65.650002,62.770000,64.389999,64.389999,1711700
2020-10-21,64.550003,65.559998,63.869999,65.000000,65.000000,1029900
2020-10-22,64.879997,67.669998,64.724998,67.089996,67.089996,1137400
2020-10-23,67.510002,68.860001,66.430000,68.419998,68.419998,1436100
2020-10-26,67.459999,67.459999,64.239998,65.349998,65.349998,1110900
2020-10-27,65.400002,65.860001,63.415001,63.950001,63.950001,1217100
2020-10-28,62.119999,62.119999,59.189999,59.240002,59.240002,1987200
2020-10-29,58.799999,61.369999,58.700001,60.590000,60.590000,946600
2020-10-30,60.290001,60.520000,57.904999,59.270000,59.270000,1688100
2020-11-02,60.040001,60.790001,58.779999,59.320000,59.320000,1960100
2020-11-03,60.110001,64.580002,59.790001,63.919998,63.919998,1473600
2020-11-04,64.410004,68.260002,62.320000,66.459999,66.459999,1469200
2020-11-05,67.489998,68.250000,65.190002,66.570000,66.570000,1443600
2020-11-06,63.049999,67.720001,63.049999,67.190002,67.190002,2438800
2020-11-09,78.110001,86.500000,77.000000,78.070000,78.070000,6432300
2020-11-10,77.989998,77.989998,72.750000,73.019997,73.019997,2312600
2020-11-11,73.040001,74.809998,71.250000,74.760002,74.760002,2565600
2020-11-12,72.309998,73.669998,70.764999,71.680000,71.680000,1962400
2020-11-13,71.919998,72.430000,68.449997,69.400002,69.400002,2312300
2020-11-16,73.349998,73.800003,69.150002,70.989998,70.989998,3050600
2020-11-17,70.070000,70.459999,67.949997,68.059998,68.059998,2420700
2020-11-18,68.000000,68.720001,66.290001,66.500000,66.500000,2555700
2020-11-19,66.370003,67.330002,64.860001,66.709999,66.709999,1848000
2020-11-20,66.919998,67.300003,65.410004,66.290001,66.290001,1466200
2020-11-23,66.500000,69.500000,65.459999,69.110001,69.110001,1631700
2020-11-24,70.730003,75.669998,70.699997,74.680000,74.680000,2979700
2020-11-25,74.040001,74.190002,71.449997,72.199997,72.199997,1187300
2020-11-27,72.320000,73.260002,71.529999,72.260002,72.260002,562000
2020-11-30,72.400002,73.080002,70.550003,72.949997,72.949997,912600
2020-12-01,73.500000,75.220001,72.559998,75.110001,75.110001,1311200
2020-12-02,74.500000,75.330002,73.570000,74.550003,74.550003,909900
2020-12-03,74.750000,75.940002,74.050003,74.199997,74.199997,686000
2020-12-04,74.750000,75.199997,72.625000,75.120003,75.120003,972100
2020-12-07,74.800003,74.949997,73.680000,74.760002,74.760002,764900
2020-12-08,74.320000,76.110001,73.870003,75.730003,75.730003,863800
2020-12-09,76.510002,79.599998,76.510002,77.320000,77.320000,1811400
2020-12-10,76.570000,77.650002,76.150002,77.540001,77.540001,804500
2020-12-11,76.900002,78.160004,75.230003,76.190002,76.190002,920800
2020-12-14,77.739998,79.370003,75.699997,76.150002,76.150002,1437800
2020-12-15,76.199997,76.809998,72.680000,73.150002,73.150002,1851100
2020-12-16,73.290001,75.269997,72.970001,74.910004,74.910004,928400
